show_a,show_b,cosine_similarity
Julio Sabala,Natalia Cuevas,0.45981413033256485
Juan Pablo López,Luis Slimming,0.459242737885822
Hugo Varela,Payahop,0.45897026220047626
Dino Gordillo,Hugo Varela,0.458811445813112
Julio Sabala,Memo Bunke,0.45849227728422154
Felipe Avello,Hugo Goodman,0.458154660235333
Fusión Humor,Jani Dueñas,0.4575991941725246
Gloria Benavides,Álvaro Salas,0.456712175217581
Memo Bunke,Payahop,0.45663800212574723
Arturo Ruiz-Tagle,Jani Dueñas,0.456081377422919
Felipe Avello,Gloria Benavides,0.45507008214464734
Alison Mandel,Belén Mora,0.454667110103772
Diego Urrutia,Huaso Filomeno,0.45385862240003
Alejandra Azcárate,"Carlos ""El Mono"" Sánchez",0.45368675645844614
Ricardo Meruane,Álvaro Salas,0.4534681344409962
Coco Legrand,El Huaso Clavel,0.4533204889640801
Los Locos del Humor,Stefan Kramer,0.4531158429012136
Alejandra Azcárate,Natalia Valdebenito,0.4527103428205103
Coco Legrand,Stefan Kramer,0.4525110617611439
Juan Pablo López,Los Locos del Humor,0.45131149233396983
Los Atletas de la Risa,Pujillay,0.4505629530588116
Bastián Paz,Gloria Benavides,0.44993814575445884
Felipe Avello,"Paul Vásquez ""El Flaco""",0.44990353547732254
Luis Slimming,Ricardo Meruane,0.449394503258278
Centella,Jani Dueñas,0.44936974910515903
Diego Urrutia,Payahop,0.44904206708180433
Edo Caroe,León Murillo,0.4490185629213593
Rodrigo Villegas,Álvaro Salas,0.44891512908189546
Edo Caroe,Rudy Rey,0.4487827681741196
Lucho Navarro,Memo Bunke,0.4470900168151782
Edo Caroe,Ricardo Meruane,0.4470804735206584
"Juan Luis ""Jajá"" Calderón",Luis Slimming,0.4457753701196345
Ernesto Belloni,Payahop,0.44553800514906394
El Huaso Clavel,Lucho Navarro,0.4446161951781784
Hugo Varela,Memo Bunke y Natalia Cuevas,0.4439795959109318
Arturo Ruiz-Tagle,Melón y Melame,0.4438543360473145
Javiera Contador,Sarah Sanders,0.4437480781140664
Gloria Benavides,Mauricio Palma,0.44342464706331536
Gloria Benavides,Jorge Alís,0.4433967803788318
Coco Legrand,"Daniela ""Chiqui"" Aguayo",0.44326445554109717
Centella,León Murillo,0.4425594967830619
Felipe Avello,Hermógenes Conache,0.441941441043117
Arturo Ruiz-Tagle,Óscar Gangas,0.44152307292043785
Jorge Alís,Óscar Gangas,0.44110703800642564
Los Locos del Humor,Palta Meléndez,0.440997359942702
Centella,Luis Slimming,0.44081147101067636
Juan Pablo López,Álvaro Salas,0.44069128184209405
Belén Mora,"Daniela ""Chiqui"" Aguayo",0.4404610129066722
"Daniel Muñoz ""El Carmelo""",Julio Sabala,0.4399799437935354
Hugo Varela,Zip-Zup,0.4384777731234488
Edo Caroe,Jenny Cavallo,0.43826965857824135
"Jorge ""Chino"" Navarrete",Pamela Leiva,0.43794851587267225
Fabrizio Copano,Mauricio Palma,0.4377071132654737
"Daniel Muñoz ""El Carmelo""",Ruperto,0.43768479698448837
Carlos García,Álvaro Salas,0.43700838003826376
Arturo Ruiz-Tagle,Payahop,0.43686816115564714
Dinamita Show,Los Locos del Humor,0.4355552542942393
"Daniel Muñoz ""El Carmelo""",Ernesto Belloni,0.4352019197137763
Carlos García,Pujillay,0.4347159789127478
Gloria Benavides,Hugo Varela,0.4343543675498148
Belén Mora,Javiera Contador,0.4339866792361149
Alejandra Azcárate,Zip-Zup,0.4336657890713653
Los Locos del Humor,"Paul Vásquez ""El Flaco""",0.43356437697121974
Alex Ortiz,Fabrizio Copano,0.4329117317477894
Los Locos del Humor,Óscar Gangas,0.43253899415947106
"Daniela ""Chiqui"" Aguayo",Paulo Iglesias,0.43232146807356275
Los Indolatinos,Palta Meléndez,0.43135645958290547
Carlos García,Edo Caroe,0.4308994117971599
"Jorge ""Chino"" Navarrete",Ruperto,0.4300183090455996
Bastián Paz,Belén Mora,0.4290367659313267
"Paul Vásquez ""El Flaco""",Rodrigo Villegas,0.4284851480962708
Profesor Salomón y Tutu-Tutu,Stefan Kramer,0.428427555029997
"Jorge ""Chino"" Navarrete",Mauricio Palma,0.4282349872803619
Diego Urrutia,Gigi Martin,0.4277936151533804
Rodrigo Villegas,Rudy Rey,0.4277230781497219
Felipe Avello,Natalia Cuevas,0.42766085825608097
Jorge Alís,"Paul Vásquez ""El Flaco""",0.4273519400551577
Jani Dueñas,Ruperto,0.4272513068131461
Palta Meléndez,Sergio Freire,0.4270926039426589
León Murillo,Lucho Navarro,0.42658191001747114
Diego Urrutia,Hugo Varela,0.42617254672999005
El Pampero,Hugo Varela,0.4259763673851426
Alejandra Azcárate,Edo Caroe,0.4257947396774833
Hermógenes Conache,Profesor Salomón y Tutu-Tutu,0.42556284727874427
Hermógenes Conache,Pujillay,0.42541729629546676
Carlos García,Profesor Salomón y Tutu-Tutu,0.425410023598318
Pedro Ruminot,Sergio Freire,0.4253209831231947
Dino Gordillo,Jorge Alís,0.4250434218102634
Dino Gordillo,Pedro Ruminot,0.4246904887484739
Huaso Filomeno,Payahop,0.42453070743285226
Carlos García,Los Locos del Humor,0.42433171544937953
Jani Dueñas,Jenny Cavallo,0.4239870714184088
Arturo Ruiz-Tagle,Dino Gordillo,0.42340326566010883
Jorge Alís,Stefan Kramer,0.4228826945443816
Dino Gordillo,Los Locos del Humor,0.4225565657539553
Coco Legrand,Paulo Iglesias,0.4222936661592316
Fabrizio Copano,Ricardo Meruane,0.42186516593695134
Alejandra Azcárate,"Paul Vásquez ""El Flaco""",0.42154510493165565
Alison Mandel,Los Locos del Humor,0.4202821525769543
"Jorge ""Chino"" Navarrete",Lucho Miranda,0.4202759651494033
Carlos García,Diego Urrutia,0.4199200499810192
Coco Legrand,Zip-Zup,0.41970050243487333
Palta Meléndez,Pedro Ruminot,0.419425530951204
Edo Caroe,Natalia Cuevas,0.419278459467282
Felo,Rodrigo González,0.4191591088084079
Belén Mora,Jani Dueñas,0.4185557228506407
Gloria Benavides,Memo Bunke,0.4181916060346913
Gigi Martin,Rodrigo González,0.41784806509591377
Coco Legrand,Dino Gordillo,0.4175397418063726
El Huaso Clavel,Zip-Zup,0.4171290854836008
"Daniela ""Chiqui"" Aguayo",Jenny Cavallo,0.41666552162169496
Juan Pablo López,Rodrigo González,0.41645392437373024
"Juan Luis ""Jajá"" Calderón",Sergio Freire,0.41610310555114505
Memo Bunke,Memo Bunke y Natalia Cuevas,0.41573960466489956
Coco Legrand,Palta Meléndez,0.4151011222353718
Dino Gordillo,Melón y Melame,0.41505943169268006
Fusión Humor,Mauricio Palma,0.4145217548620955
Hugo Goodman,Memo Bunke,0.414442844248087
Payahop,Rodrigo González,0.41438214372498366
"Paul Vásquez ""El Flaco""",Álvaro Salas,0.41398415620603735
Gloria Benavides,Rodrigo González,0.41390369732857824
Edo Caroe,Felo,0.4138700792152107
Felipe Avello,Rodrigo Villegas,0.41321425154954566
Hermógenes Conache,Jorge Alís,0.41306626806016755
Sarah Sanders,Zip-Zup,0.4128711957590413
Payahop,Rudy Rey,0.4125798740221762
Melón y Melame,Stefan Kramer,0.4125469129762346
Hugo Varela,Memo Bunke,0.4116468245441072
Hermógenes Conache,Stefan Kramer,0.4115001910018272
Alex Ortiz,Los Locos del Humor,0.41129757622152835
Coco Legrand,Sergio Freire,0.41045261998226895
León Murillo,Luis Slimming,0.4095064767801129
Belén Mora,Edo Caroe,0.4093868422097878
Los Locos del Humor,Natalia Valdebenito,0.40902900716863927
Huaso Filomeno,Álvaro Salas,0.4089733609063137
"Carlos ""El Mono"" Sánchez",Gigi Martin,0.4087831272085065
Fusión Humor,Luis Slimming,0.40854263900040666
Javiera Contador,Pamela Leiva,0.4080356385327151
Edo Caroe,Lucho Miranda,0.4077390400377871
Paulo Iglesias,Rodrigo Villegas,0.4073260214962495
Paulo Iglesias,Sergio Freire,0.4073060355048917
Huaso Filomeno,Zip-Zup,0.4066715600657549
Fusión Humor,Memo Bunke,0.40636907995409594
Gloria Benavides,"Paul Vásquez ""El Flaco""",0.40618211875252463
Dino Gordillo,Huaso Filomeno,0.40607296610964616
León Murillo,Ricardo Meruane,0.4054619062175603
Alison Mandel,Dino Gordillo,0.40499211520768824
Arturo Ruiz-Tagle,Pamela Leiva,0.40477332106468994
Rodrigo González,Stefan Kramer,0.4046005064188299
Huaso Filomeno,"Juan Luis ""Jajá"" Calderón",0.40443046649508496
"Carlos ""El Mono"" Sánchez","Paul Vásquez ""El Flaco""",0.40432313147322424
"Carlos ""El Mono"" Sánchez",Jani Dueñas,0.4042023600521734
Edo Caroe,Stefan Kramer,0.4039717089321705
Dinamita Show,Palta Meléndez,0.40386569944066547
Jani Dueñas,Jorge Alís,0.40368648180163746
Alison Mandel,Javiera Contador,0.40334958665180826
Melón y Melame,Memo Bunke,0.4030614338812933
Juan Pablo López,Óscar Gangas,0.4027574109841301
Rodrigo González,Rudy Rey,0.40256203014618513
Huaso Filomeno,Stefan Kramer,0.4022204425915629
Arturo Ruiz-Tagle,Ruperto,0.401906214700763
"Juan Luis ""Jajá"" Calderón",Sandy,0.40137517831826525
El Pampero,Melón y Melame,0.40071318287917784
Centella,Óscar Gangas,0.4000988712468731
Ernesto Belloni,Rodrigo González,0.3998845443151236
Carlos García,El Pampero,0.39968513212686857
Alison Mandel,Jani Dueñas,0.39959974874556137
Melón y Melame,Ruperto,0.3995113554579197
Juan Pablo López,Los Indolatinos,0.39948503539963504
Los Atletas de la Risa,Sergio Freire,0.3993206621566173
Hugo Varela,Ruperto,0.39901479093759706
León Murillo,Pedro Ruminot,0.39893542442264746
Mauricio Palma,Stefan Kramer,0.398746792447433
Centella,Sandy,0.39871378368973337
Hugo Varela,Sergio Freire,0.39858710412991
Fabrizio Copano,León Murillo,0.3985727145241859
Bombo Fica,"Jorge ""Chino"" Navarrete",0.398246065301236
Diego Urrutia,Hermógenes Conache,0.3981768277600112
"Juan Luis ""Jajá"" Calderón",Juan Pablo López,0.39779283226698514
Coco Legrand,Javiera Contador,0.39756878464378337
"Carlos ""El Mono"" Sánchez",Sandy,0.3972690303680273
"Juan Luis ""Jajá"" Calderón",Álvaro Salas,0.3967792653663551
Gloria Benavides,Memo Bunke y Natalia Cuevas,0.39668032386558694
Mauricio Palma,Melón y Melame,0.3966774864553607
Hermógenes Conache,Pedro Ruminot,0.39648635156578993
Coco Legrand,Edo Caroe,0.3964483124058102
"Juan Luis ""Jajá"" Calderón",Pedro Ruminot,0.39628321003736966
Luis Slimming,Sergio Freire,0.39612728907460043
Fusión Humor,Payahop,0.3960954632693891
Hermógenes Conache,Pancho del Sur,0.3960794025831348
Centella,Juan Pablo López,0.3959283556820105
Ernesto Belloni,Zip-Zup,0.39546356027993596
Centella,Rodrigo Villegas,0.39546350704367794
Los Locos del Humor,Sandy,0.3953934690732841
Jorge Alís,Álvaro Salas,0.39529029359940454
"Jorge ""Chino"" Navarrete",Melón y Melame,0.3952317855040957
Melón y Melame,Rodrigo González,0.3950268745431186
Arturo Ruiz-Tagle,Huaso Filomeno,0.3949764570967204
Julio Sabala,Pancho del Sur,0.3948854749562006
Pedro Ruminot,Óscar Gangas,0.39433271602607933
