ROUTINEID,FESTIVAL,YEAR,TV,DATE,SHOW,VIDEO
142,LII,2011,Chilevisión,2011-02-25,Ricardo Meruane,https://www.youtube.com/watch?v=4dXEggMTQzY
143,LIII,2012,Chilevisión,2012-02-23,Dinamita Show,https://www.youtube.com/watch?v=UzHHqapzkNo
144,LIII,2012,Chilevisión,2012-02-25,Zip-Zup,https://www.youtube.com/watch?v=cje_bO-ZiRM
145,LIII,2012,Chilevisión,2012-02-27,Bombo Fica,https://www.youtube.com/watch?v=kBu35Z3lvGg
146,LIV,2013,Chilevisión,2013-02-24,Hermógenes Conache,https://www.youtube.com/watch?v=8xeDQUAMBTg
147,LIV,2013,Chilevisión,2013-02-25,Los Atletas de la Risa,https://www.youtube.com/watch?v=gQr75kSr3DQ
148,LIV,2013,Chilevisión,2013-02-26,Nancho Parra,https://www.youtube.com/watch?v=IXBCR47G3mc
149,LIV,2013,Chilevisión,2013-02-27,Bastián Paz,https://www.youtube.com/watch?v=gn_v8ECau9U
150,LIV,2013,Chilevisión,2013-02-28,Memo Bunke,
151,LV,2014,Chilevisión,2014-02-23,Los Locos del Humor,https://www.youtube.com/watch?v=yPfKAyBsCBY
152,LV,2014,Chilevisión,2014-02-24,Jorge Alís,https://www.youtube.com/watch?v=D8O0cxbW4D0
153,LV,2014,Chilevisión,2014-02-25,Rudy Rey,https://www.youtube.com/watch?v=EIhoqOafsoI
154,LV,2014,Chilevisión,2014-02-27,Gigi Martin,https://www.youtube.com/watch?v=_l8pOhugbH4
155,LV,2014,Chilevisión,2014-02-28,Payahop,https://www.youtube.com/watch?v=I-phgIGcOJY
156,LVI,2015,Chilevisión,2015-02-22,Dinamita Show,https://www.youtube.com/watch?v=b6HH5kzw3xA
157,LVI,2015,Chilevisión,2015-02-23,Centella,https://www.youtube.com/watch?v=Fo6pYHdazLc
158,LVI,2015,Chilevisión,2015-02-24,Huaso Filomeno,https://www.youtube.com/watch?v=5udWu5DwbKY
159,LVI,2015,Chilevisión,2015-02-25,León Murillo,https://www.youtube.com/watch?v=DKAesqNFmB0
160,LVI,2015,Chilevisión,2015-02-27,Arturo Ruiz-Tagle,https://www.youtube.com/watch?v=6VfUZr0xoy8
161,LVII,2016,Chilevisión,2016-02-22,Edo Caroe,https://www.youtube.com/watch?v=wxW65PoL2FY
162,LVII,2016,Chilevisión,2016-02-23,Rodrigo González,https://www.youtube.com/watch?v=xCJZW5xpMeU
163,LVII,2016,Chilevisión,2016-02-24,Natalia Valdebenito,https://www.youtube.com/watch?v=-Q0ftHFhgSY
164,LVII,2016,Chilevisión,2016-02-25,Pedro Ruminot,https://www.youtube.com/watch?v=ZikR_WZcWOY
165,LVII,2016,Chilevisión,2016-02-26,Los Locos del Humor,https://www.youtube.com/watch?v=qOdRMSiInsI
166,LVII,2016,Chilevisión,2016-02-27,Ricardo Meruane,https://www.youtube.com/watch?v=QJ_34kKhoVY
167,LVIII,2017,Chilevisión,2017-02-20,Juan Pablo López,https://www.youtube.com/watch?v=sn6UsIBqrnQ
168,LVIII,2017,Chilevisión,2017-02-21,"Daniela ""Chiqui"" Aguayo",https://www.youtube.com/watch?v=52Rv7cWRLvE
169,LVIII,2017,Chilevisión,2017-02-22,"Carlos ""El Mono"" Sánchez",https://www.youtube.com/watch?v=Vqcy89wt-X4
170,LVIII,2017,Chilevisión,2017-02-23,"Juan Luis ""Jajá"" Calderón",https://www.youtube.com/watch?v=XFom-N-_4ig
171,LVIII,2017,Chilevisión,2017-02-24,Rodrigo Villegas,https://www.youtube.com/watch?v=SOxxTZ7-k4s
172,LVIII,2017,Chilevisión,2017-02-25,Fabrizio Copano,https://www.youtube.com/watch?v=m2f9zCMFDVU
173,LIX,2018,Chilevisión,2018-02-20,Bombo Fica,https://www.youtube.com/watch?v=IPZXmxwgC8E
174,LIX,2018,Chilevisión,2018-02-21,Jenny Cavallo,https://www.youtube.com/watch?v=oWHa-f8mq7Y
175,LIX,2018,Chilevisión,2018-02-22,Stefan Kramer,https://www.youtube.com/watch?v=rq1kOT6TR4k
176,LIX,2018,Chilevisión,2018-02-23,Alison Mandel,https://www.youtube.com/watch?v=5e5tRFgodxo
177,LIX,2018,Chilevisión,2018-02-24,Alejandra Azcárate,https://www.youtube.com/watch?v=71qXCPzxLn0
178,LIX,2018,Chilevisión,2018-02-25,Sergio Freire,
179,LX,2019,"Canal 13, TVN",2019-02-24,Felipe Avello,https://www.youtube.com/watch?v=WO3QfvdOUws
180,LX,2019,"Canal 13, TVN",2019-02-25,Dino Gordillo,
181,LX,2019,"Canal 13, TVN",2019-02-26,Jani Dueñas,https://www.youtube.com/watch?v=KE6mP8YtxtI
182,LX,2019,"Canal 13, TVN",2019-02-27,Jorge Alís,https://www.youtube.com/watch?v=Yk6NbH3ZSjw
183,LX,2019,"Canal 13, TVN",2019-02-28,Mauricio Palma,https://www.youtube.com/watch?v=rHC396RgXq8
184,LX,2019,"Canal 13, TVN",2019-03-01,Bonco Quiñongo,
185,LXI,2020,"Canal 13, TVN",2020-02-23,Stefan Kramer,
186,LXI,2020,"Canal 13, TVN",2020-02-24,Javiera Contador,https://www.youtube.com/watch?v=r_CGD9M7Wpk
187,LXI,2020,"Canal 13, TVN",2020-02-25,Ernesto Belloni,https://www.youtube.com/watch?v=jLHPImy8Kh0
188,LXI,2020,"Canal 13, TVN",2020-02-26,Fusión Humor,https://www.youtube.com/watch?v=jNJk55pkxoU
189,LXI,2020,"Canal 13, TVN",2020-02-27,"Paul Vásquez ""El Flaco""",https://www.youtube.com/watch?v=7Zuq_Y3cJn8
190,LXI,2020,"Canal 13, TVN",2020-02-28,Pedro Ruminot,https://www.youtube.com/watch?v=PcV76hJmoGU
191,LXII,2023,"Canal 13, TVN",2023-02-19,Pamela Leiva,https://www.youtube.com/watch?v=C0QN87eCb4c
192,LXII,2023,"Canal 13, TVN",2023-02-20,Diego Urrutia,https://www.youtube.com/watch?v=PDI45DKN0oc
193,LXII,2023,"Canal 13, TVN",2023-02-21,Belén Mora,https://www.youtube.com/watch?v=0a4MnPr53_c
194,LXII,2023,"Canal 13, TVN",2023-02-22,Rodrigo Villegas,https://www.youtube.com/watch?v=OUnCxHAaH9c
195,LXII,2023,"Canal 13, TVN",2023-02-23,Fabrizio Copano,https://www.youtube.com/watch?v=lcaNmSupsQM
196,LXII,2023,"Canal 13, TVN",2023-02-24,Laila Roth,https://www.youtube.com/watch?v=4CGMCcbAin8
197,LXIII,2024,"Canal 13, TVN",2024-02-25,Alison Mandel,https://www.youtube.com/watch?v=ECrw6fGydrY
198,LXIII,2024,"Canal 13, TVN",2024-02-26,Javiera Contador,https://www.youtube.com/watch?v=Z4nhHJuBCi4
199,LXIII,2024,"Canal 13, TVN",2024-02-27,Luis Slimming,https://www.youtube.com/watch?v=4dZs8JX1XYY
200,LXIII,2024,"Canal 13, TVN",2024-02-28,Lucho Miranda,https://www.youtube.com/watch?v=Qs2noQccx6A
201,LXIII,2024,"Canal 13, TVN",2024-02-29,Sergio Freire,https://www.youtube.com/watch?v=fdyijhv7_rg
202,LXIII,2024,"Canal 13, TVN",2024-03-01,Alex Ortiz,https://www.youtube.com/watch?v=cYr-SqLObQw
