show,year,topic_id,topic_mass,total_mass,p_topic_show_year
"Carlos ""El Mono"" Sánchez",2017,15,0.6953602106047363,15.64133170421811,0.04445658616249494
"Carlos ""El Mono"" Sánchez",2017,18,0.033967201640147424,15.64133170421811,0.0021716310530635473
"Carlos ""El Mono"" Sánchez",2017,19,1.052278417665213,15.64133170421811,0.06727550042183668
"Carlos ""El Mono"" Sánchez",2017,21,0.057996530955005725,15.64133170421811,0.003707902373770731
"Carlos ""El Mono"" Sánchez",2017,23,2.3140901348464173,15.64133170421811,0.1479471299890891
"Carlos ""El Mono"" Sánchez",2017,25,3.1554718042572625,15.64133170421811,0.20173933165846125
"Carlos ""El Mono"" Sánchez",2017,26,0.2019064117969831,15.64133170421811,0.01290851799674663
"Carlos ""El Mono"" Sánchez",2017,27,2.0,15.64133170421811,0.12786635037352004
Carlos García,2006,0,0.056855596621049685,11.77623176677364,0.0048279957245293366
Carlos García,2006,1,2.6717414888813638,11.77623176677364,0.22687575633655746
Carlos García,2006,2,0.052922017552823095,11.77623176677364,0.004493968750015715
Carlos García,2006,3,0.43919651213276484,11.77623176677364,0.037295165451137556
Carlos García,2006,4,0.03659184895910901,11.77623176677364,0.003107262975441096
Carlos García,2006,5,0.055236227477853395,11.77623176677364,0.004690484067552161
Carlos García,2006,6,0.993337248280837,11.77623176677364,0.08435102738751411
Carlos García,2006,7,0.0626052006288981,11.77623176677364,0.00531623373832852
Carlos García,2006,8,1.6472703814011134,11.77623176677364,0.13988094103657572
Carlos García,2006,9,0.028523201717068677,11.77623176677364,0.00242209921492427
Carlos García,2006,10,0.587719887804021,11.77623176677364,0.04990729627640811
Carlos García,2006,11,0.055304371598592576,11.77623176677364,0.004696270648700424
Carlos García,2006,13,1.0483600940874203,11.77623176677364,0.08902339176487198
Carlos García,2006,14,1.0,11.77623176677364,0.08491680698926769
Carlos García,2006,15,0.04943029220567383,11.77623176677364,0.004197462582652308
Carlos García,2006,16,0.030395255681568024,11.77623176677364,0.0025810680601011543
Carlos García,2006,17,0.031741166195604194,11.77623176677364,0.0026953584834463894
Carlos García,2006,18,1.2089699563748895,11.77623176677364,0.10266186844130987
