segment_idx,show,year
648,Palta Meléndez,1997
649,Palta Meléndez,1997
650,Palta Meléndez,1997
651,Palta Meléndez,1997
652,Palta Meléndez,1997
653,Palta Meléndez,1997
654,Palta Meléndez,1997
655,Palta Meléndez,1997
656,Palta Meléndez,1997
657,Palta Meléndez,1997
658,Palta Meléndez,1997
659,Palta Meléndez,1997
660,Palta Meléndez,1997
661,Palta Meléndez,1997
662,Palta Meléndez,1997
663,Palta Meléndez,1997
664,Palta Meléndez,1997
665,Palta Meléndez,1997
666,Palta Meléndez,1997
667,Palta Meléndez,1997
668,Palta Meléndez,1997
669,Palta Meléndez,1997
670,Palta Meléndez,1997
671,Palta Meléndez,1997
672,Palta Meléndez,1997
673,Palta Meléndez,1997
674,Pancho del Sur,1997
675,Pancho del Sur,1997
676,Pancho del Sur,1997
677,Pancho del Sur,1997
678,Pancho del Sur,1997
679,Pancho del Sur,1997
680,Pancho del Sur,1997
681,Pancho del Sur,1997
682,Pancho del Sur,1997
683,Melón y Melame,1998
684,Melón y Melame,1998
685,Melón y Melame,1998
686,Melón y Melame,1998
687,Melón y Melame,1998
688,Melón y Melame,1998
689,Melón y Melame,1998
690,Melón y Melame,1998
691,Melón y Melame,1998
692,Melón y Melame,1998
693,Melón y Melame,1998
694,Melón y Melame,1998
695,Melón y Melame,1998
696,Melón y Melame,1998
697,Melón y Melame,1998
698,Melón y Melame,1998
699,Melón y Melame,1998
700,Melón y Melame,1998
701,Melón y Melame,1998
702,Melón y Melame,1998
703,Melón y Melame,1998
704,Melón y Melame,1998
705,Melón y Melame,1998
706,Melón y Melame,1998
707,Melón y Melame,1998
708,Melón y Melame,1998
709,Melón y Melame,1998
710,Melón y Melame,1998
711,Melón y Melame,1998
712,Melón y Melame,1998
713,Melón y Melame,1998
714,Melón y Melame,1998
715,Melón y Melame,1998
716,Melón y Melame,1998
717,Melón y Melame,1998
718,Melón y Melame,1998
719,Melón y Melame,1998
720,Óscar Gangas,1998
721,Óscar Gangas,1998
722,Óscar Gangas,1998
723,Óscar Gangas,1998
724,Óscar Gangas,1998
725,Óscar Gangas,1998
726,Óscar Gangas,1998
727,Óscar Gangas,1998
728,Óscar Gangas,1998
729,Óscar Gangas,1998
730,Óscar Gangas,1998
731,Óscar Gangas,1998
732,Óscar Gangas,1998
733,Sarah Sanders,1998
734,Sarah Sanders,1998
735,Sarah Sanders,1998
736,Sarah Sanders,1998
737,Sarah Sanders,1998
738,Sarah Sanders,1998
739,Gloria Benavides,1998
740,Gloria Benavides,1998
741,Gloria Benavides,1998
742,Gloria Benavides,1998
743,Gloria Benavides,1998
744,Gloria Benavides,1998
745,Gloria Benavides,1998
746,Gloria Benavides,1998
747,Gloria Benavides,1998
748,Gloria Benavides,1998
749,Gloria Benavides,1998
750,Gloria Benavides,1998
751,Gloria Benavides,1998
752,Gloria Benavides,1998
753,Gloria Benavides,1998
754,Gloria Benavides,1998
755,Gloria Benavides,1998
756,Gloria Benavides,1998
757,Gloria Benavides,1998
758,Gloria Benavides,1998
759,Gloria Benavides,1998
760,Gloria Benavides,1998
761,Gloria Benavides,1998
762,Gloria Benavides,1998
763,Gloria Benavides,1998
764,Gloria Benavides,1998
765,Gloria Benavides,1998
766,Gloria Benavides,1998
767,Gloria Benavides,1998
768,Gloria Benavides,1998
769,Gloria Benavides,1998
770,Dino Gordillo,1998
771,Dino Gordillo,1998
772,Dino Gordillo,1998
773,Dino Gordillo,1998
774,Dino Gordillo,1998
775,Dino Gordillo,1998
776,Dino Gordillo,1998
777,Dino Gordillo,1998
778,Dino Gordillo,1998
779,Dino Gordillo,1998
780,Dino Gordillo,1998
781,Dino Gordillo,1998
782,Dino Gordillo,1998
783,Dino Gordillo,1998
784,Dino Gordillo,1998
785,Dino Gordillo,1998
786,Dino Gordillo,1998
787,Dino Gordillo,1998
788,Dino Gordillo,1998
789,Dino Gordillo,1998
790,Dino Gordillo,1998
791,Dino Gordillo,1998
792,Dino Gordillo,1998
793,Dino Gordillo,1998
794,Dino Gordillo,1998
795,Dino Gordillo,1998
796,Dino Gordillo,1998
797,Dino Gordillo,1998
798,Los Indolatinos,1999
799,Los Indolatinos,1999
800,Los Indolatinos,1999
801,Los Indolatinos,1999
802,Los Indolatinos,1999
803,Los Indolatinos,1999
804,Los Indolatinos,1999
805,Los Indolatinos,1999
806,Los Indolatinos,1999
807,Los Indolatinos,1999
808,Los Indolatinos,1999
809,Los Indolatinos,1999
810,Los Indolatinos,1999
811,Los Indolatinos,1999
812,Los Indolatinos,1999
813,Los Indolatinos,1999
814,Los Indolatinos,1999
815,Los Indolatinos,1999
816,Los Indolatinos,1999
817,Los Indolatinos,1999
818,Los Indolatinos,1999
819,Los Indolatinos,1999
820,Los Indolatinos,1999
821,Sandy,1999
822,Sandy,1999
823,Sandy,1999
824,Sandy,1999
825,Sandy,1999
826,Sandy,1999
827,Sandy,1999
828,Sandy,1999
829,Sandy,1999
830,Sandy,1999
831,Sandy,1999
832,Sandy,1999
833,Sandy,1999
834,Sandy,1999
835,Sandy,1999
836,Sandy,1999
837,Sandy,1999
838,Sandy,1999
839,Sandy,1999
840,Sandy,1999
841,Sandy,1999
842,Sandy,1999
843,Sandy,1999
844,Sandy,1999
845,Sandy,1999
846,Sandy,1999
847,Sandy,1999
848,Sandy,1999
849,Sandy,1999
850,Sandy,1999
851,Sandy,1999
852,Melón y Melame,1999
853,Melón y Melame,1999
854,Melón y Melame,1999
855,Melón y Melame,1999
856,Melón y Melame,1999
857,Melón y Melame,1999
858,Melón y Melame,1999
859,Melón y Melame,1999
860,Melón y Melame,1999
861,Melón y Melame,1999
862,Melón y Melame,1999
863,Melón y Melame,1999
864,Melón y Melame,1999
865,Melón y Melame,1999
866,Melón y Melame,1999
867,Melón y Melame,1999
868,Melón y Melame,1999
869,Melón y Melame,1999
870,Melón y Melame,1999
871,Melón y Melame,1999
872,Melón y Melame,1999
873,Melón y Melame,1999
874,Melón y Melame,1999
875,Melón y Melame,1999
876,Melón y Melame,1999
877,Melón y Melame,1999
878,Melón y Melame,1999
879,Melón y Melame,1999
880,Melón y Melame,1999
881,Melón y Melame,1999
