segment_idx,topic_id_matrix,topic_id_assumed,p_topic
35,2,2,0.035755097123179945
35,3,3,0.10093035181374642
35,4,4,0.01843588474181988
35,5,5,0.011619809363022782
35,6,6,0.05200218879474401
35,7,7,0.010897008955617356
35,8,8,0.01538430744126437
35,9,9,0.013495384343255363
35,10,10,0.028488855781344267
35,11,11,0.010258051427071296
35,12,12,0.017476494670012412
35,13,13,0.022527670746146106
35,14,14,0.0431903984781161
35,15,15,0.011123204472829908
35,16,16,0.011610812962433565
35,17,17,0.07035485115633096
35,18,18,0.012382823240997369
35,19,19,0.10567823172100556
35,20,20,0.013463404837248956
35,21,21,0.026989112452391117
35,22,22,0.036371727124280794
35,23,23,0.01201952690221606
35,24,24,0.016649554017667798
35,25,25,0.016032599409866535
35,26,26,0.011299207321312664
35,27,27,0.014089946322766153
35,28,28,0.02410682384682446
35,29,29,0.02123962262304206
36,1,1,0.02464721569925651
36,2,2,0.021355060558316936
36,3,3,0.024254091485315637
36,4,4,0.011043630761149403
36,6,6,0.03645018447662186
36,8,8,0.01307976370794137
36,10,10,0.02630026949860559
36,12,12,0.013093524956711653
36,13,13,0.0206484483042029
36,14,14,0.04601858543297383
36,17,17,0.028863110438869227
36,19,19,0.02916015251264151
36,21,21,0.03277121021408357
36,22,22,0.04604703384693651
36,24,24,0.012004493740486292
36,25,25,0.012025764136612205
36,27,27,0.010235781299637984
36,28,28,0.014024461366546255
36,29,29,0.01678068830383569
37,2,2,1.0
38,2,2,0.01911761778840124
38,8,8,0.011398601050621595
38,9,9,0.010355376200638188
38,10,10,0.035192078466849734
38,12,12,0.018864532967244427
38,13,13,0.011677487728632007
38,18,18,0.010715810363765966
38,20,20,0.010572420146482034
38,24,24,0.020682517674119744
38,25,25,0.011013969582121546
38,27,27,0.011998691088153211
38,28,28,0.01293866460487215
38,29,29,0.011686897227124925
39,0,0,0.018906677768287958
39,1,1,0.013095800213289025
39,2,2,0.021179296906464067
39,3,3,0.010896233350482998
39,4,4,0.01954855406215424
39,5,5,0.02690811970913042
39,7,7,0.04826394227953812
39,8,8,0.015720851342404633
39,9,9,0.029374435583301745
39,10,10,0.020470460936492782
39,11,11,0.034042869340884935
39,12,12,0.03534784998648849
39,13,13,0.015334881986562021
39,15,15,0.029502445219509142
39,16,16,0.04718447556415449
39,17,17,0.010433044099169796
39,18,18,0.035504204993524885
39,19,19,0.010520360191314589
39,20,20,0.07487168615753553
39,21,21,0.010237654719795384
39,22,22,0.010551752660256182
39,23,23,0.05053978963614879
39,24,24,0.0956169757859455
39,25,25,0.022486523347796463
39,26,26,0.02527895829586864
39,27,27,0.033654675125689835
39,28,28,0.017339625331872416
39,29,29,0.01754996519942188
40,0,0,0.022422567393000272
40,1,1,0.014329177747123854
40,2,2,0.021522531407258034
40,3,3,0.013042492984727394
40,4,4,0.0220017056308631
40,5,5,0.0816674174939677
40,6,6,0.011892975520832702
40,7,7,0.03832600420187183
40,8,8,0.016325091566833476
40,9,9,0.0334765944700422
40,10,10,0.021817132189930945
40,11,11,0.12861368295326803
40,12,12,0.03177625660550021
40,13,13,0.01676054534851576
40,14,14,0.011885407379292617
40,15,15,0.024705949376397227
40,16,16,0.06934457813319134
40,17,17,0.012619714558324497
40,18,18,0.04306377153263956
40,19,19,0.012387344685529504
40,20,20,0.05072560002137443
40,21,21,0.012015912963465354
40,22,22,0.01231094155866052
40,23,23,0.0310670946027777
40,24,24,0.03538287126141354
40,25,25,0.020696799438310164
40,26,26,0.06282674630494983
40,27,27,0.02625350614236769
40,28,28,0.019559621566569034
40,29,29,0.017698939874554665
41,0,0,0.019551047446450642
41,1,1,0.01586818902130321
41,2,2,0.024270648832454403
41,3,3,0.012978545781228692
41,4,4,0.020195151108911895
41,5,5,0.02936270358910721
41,6,6,0.011796128779561365
41,7,7,0.06868068339542907
41,8,8,0.019446184100105908
41,9,9,0.02638239715657295
41,10,10,0.023874066667734953
41,11,11,0.04988244606090358
41,12,12,0.0386359337594531
41,13,13,0.018530700595598613
41,14,14,0.011814461797504663
41,15,15,0.04637983374715894
41,16,16,0.06290057870328797
41,17,17,0.01276759519639005
41,18,18,0.0337736196384136
41,19,19,0.01243916850996438
41,20,20,0.05962266605693976
41,21,21,0.012201649348504684
41,22,22,0.012564036493843043
41,23,23,0.08538167689092814
41,24,24,0.07357078880961207
41,25,25,0.02952528221136008
41,26,26,0.028089303463716943
41,27,27,0.05073455512817958
41,28,28,0.02036311943164399
41,29,29,0.021802911920300486
42,2,2,0.015228944692343512
42,4,4,0.010403751744179993
42,5,5,0.010670676082927249
42,7,7,0.01248893551175642
42,9,9,0.010756596075346018
42,10,10,0.013142965211298268
42,11,11,0.011526577175183043
42,12,12,0.028662943703766635
42,15,15,0.012034240921430931
42,16,16,0.015558116694836215
42,18,18,0.01230694148315885
42,20,20,0.017905450662293137
42,23,23,0.015353322702246151
42,24,24,0.02888050181103188
42,25,25,0.012971942434880547
42,27,27,0.018658849923978513
42,28,28,0.011501974045426883
