ID,EVENT,VERSION,YEAR,TV,DATE,SHOWID,VIDEO
164,Festival Internacional de la Canción de Viña del Mar,LVII,2016,Chilevisión,2016-02-25,84,https://www.youtube.com/watch?v=ZikR_WZcWOY
165,Festival Internacional de la Canción de Viña del Mar,LVII,2016,Chilevisión,2016-02-26,73,https://www.youtube.com/watch?v=qOdRMSiInsI
166,Festival Internacional de la Canción de Viña del Mar,LVII,2016,Chilevisión,2016-02-27,68,https://www.youtube.com/watch?v=QJ_34kKhoVY
167,Festival Internacional de la Canción de Viña del Mar,LVIII,2017,Chilevisión,2017-02-20,85,https://www.youtube.com/watch?v=sn6UsIBqrnQ
168,Festival Internacional de la Canción de Viña del Mar,LVIII,2017,Chilevisión,2017-02-21,86,https://www.youtube.com/watch?v=52Rv7cWRLvE
169,Festival Internacional de la Canción de Viña del Mar,LVIII,2017,Chilevisión,2017-02-22,87,https://www.youtube.com/watch?v=Vqcy89wt-X4
170,Festival Internacional de la Canción de Viña del Mar,LVIII,2017,Chilevisión,2017-02-23,88,https://www.youtube.com/watch?v=XFom-N-_4ig
171,Festival Internacional de la Canción de Viña del Mar,LVIII,2017,Chilevisión,2017-02-24,89,https://www.youtube.com/watch?v=SOxxTZ7-k4s
172,Festival Internacional de la Canción de Viña del Mar,LVIII,2017,Chilevisión,2017-02-25,90,https://www.youtube.com/watch?v=m2f9zCMFDVU
173,Festival Internacional de la Canción de Viña del Mar,LIX,2018,Chilevisión,2018-02-20,67,https://www.youtube.com/watch?v=IPZXmxwgC8E
174,Festival Internacional de la Canción de Viña del Mar,LIX,2018,Chilevisión,2018-02-21,91,https://www.youtube.com/watch?v=oWHa-f8mq7Y
175,Festival Internacional de la Canción de Viña del Mar,LIX,2018,Chilevisión,2018-02-22,64,https://www.youtube.com/watch?v=rq1kOT6TR4k
176,Festival Internacional de la Canción de Viña del Mar,LIX,2018,Chilevisión,2018-02-23,92,https://www.youtube.com/watch?v=5e5tRFgodxo
177,Festival Internacional de la Canción de Viña del Mar,LIX,2018,Chilevisión,2018-02-24,93,https://www.youtube.com/watch?v=71qXCPzxLn0
178,Festival Internacional de la Canción de Viña del Mar,LIX,2018,Chilevisión,2018-02-25,94,
179,Festival Internacional de la Canción de Viña del Mar,LX,2019,"Canal 13, TVN",2019-02-24,95,https://www.youtube.com/watch?v=WO3QfvdOUws
180,Festival Internacional de la Canción de Viña del Mar,LX,2019,"Canal 13, TVN",2019-02-25,41,
181,Festival Internacional de la Canción de Viña del Mar,LX,2019,"Canal 13, TVN",2019-02-26,96,https://www.youtube.com/watch?v=KE6mP8YtxtI
182,Festival Internacional de la Canción de Viña del Mar,LX,2019,"Canal 13, TVN",2019-02-27,74,https://www.youtube.com/watch?v=Yk6NbH3ZSjw
183,Festival Internacional de la Canción de Viña del Mar,LX,2019,"Canal 13, TVN",2019-02-28,97,https://www.youtube.com/watch?v=rHC396RgXq8
184,Festival Internacional de la Canción de Viña del Mar,LX,2019,"Canal 13, TVN",2019-03-01,98,
185,Festival Internacional de la Canción de Viña del Mar,LXI,2020,"Canal 13, TVN",2020-02-23,64,
186,Festival Internacional de la Canción de Viña del Mar,LXI,2020,"Canal 13, TVN",2020-02-24,99,https://www.youtube.com/watch?v=r_CGD9M7Wpk
187,Festival Internacional de la Canción de Viña del Mar,LXI,2020,"Canal 13, TVN",2020-02-25,100,https://www.youtube.com/watch?v=jLHPImy8Kh0
188,Festival Internacional de la Canción de Viña del Mar,LXI,2020,"Canal 13, TVN",2020-02-26,101,https://www.youtube.com/watch?v=jNJk55pkxoU
189,Festival Internacional de la Canción de Viña del Mar,LXI,2020,"Canal 13, TVN",2020-02-27,102,https://www.youtube.com/watch?v=7Zuq_Y3cJn8
190,Festival Internacional de la Canción de Viña del Mar,LXI,2020,"Canal 13, TVN",2020-02-28,84,https://www.youtube.com/watch?v=PcV76hJmoGU
191,Festival Internacional de la Canción de Viña del Mar,LXII,2023,"Canal 13, TVN",2023-02-19,103,https://www.youtube.com/watch?v=C0QN87eCb4c
192,Festival Internacional de la Canción de Viña del Mar,LXII,2023,"Canal 13, TVN",2023-02-20,104,https://www.youtube.com/watch?v=PDI45DKN0oc
193,Festival Internacional de la Canción de Viña del Mar,LXII,2023,"Canal 13, TVN",2023-02-21,105,https://www.youtube.com/watch?v=0a4MnPr53_c
194,Festival Internacional de la Canción de Viña del Mar,LXII,2023,"Canal 13, TVN",2023-02-22,89,https://www.youtube.com/watch?v=OUnCxHAaH9c
195,Festival Internacional de la Canción de Viña del Mar,LXII,2023,"Canal 13, TVN",2023-02-23,90,https://www.youtube.com/watch?v=lcaNmSupsQM
196,Festival Internacional de la Canción de Viña del Mar,LXII,2023,"Canal 13, TVN",2023-02-24,106,https://www.youtube.com/watch?v=4CGMCcbAin8
197,Festival Internacional de la Canción de Viña del Mar,LXIII,2024,"Canal 13, TVN",2024-02-25,92,https://www.youtube.com/watch?v=ECrw6fGydrY
198,Festival Internacional de la Canción de Viña del Mar,LXIII,2024,"Canal 13, TVN",2024-02-26,99,https://www.youtube.com/watch?v=Z4nhHJuBCi4
199,Festival Internacional de la Canción de Viña del Mar,LXIII,2024,"Canal 13, TVN",2024-02-27,107,https://www.youtube.com/watch?v=4dZs8JX1XYY
200,Festival Internacional de la Canción de Viña del Mar,LXIII,2024,"Canal 13, TVN",2024-02-28,108,https://www.youtube.com/watch?v=Qs2noQccx6A
201,Festival Internacional de la Canción de Viña del Mar,LXIII,2024,"Canal 13, TVN",2024-02-29,94,https://www.youtube.com/watch?v=fdyijhv7_rg
202,Festival Internacional de la Canción de Viña del Mar,LXIII,2024,"Canal 13, TVN",2024-03-01,109,https://www.youtube.com/watch?v=cYr-SqLObQw
